CEST;NCM/SH;Segmento CEST;Item;Descrição CEST
0100100;38151210;01. Autopeças;1.0;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores
0100100;38151290;01. Autopeças;1.0;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores
0100200;3917;01. Autopeças;2.0;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos
0100300;39181000;01. Autopeças;3.0;Protetores de caçamba
0100400;39233000;01. Autopeças;4.0;Reservatórios de óleo
0100500;39263000;01. Autopeças;5.0;Frisos, decalques, molduras e acabamentos
0100600;40103;01. Autopeças;6.0;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias
0100600;59100000;01. Autopeças;6.0;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias
0100700;40169300;01. Autopeças;7.0;Juntas, gaxetas e outros elementos com função semelhante de vedação
0100700;4823909;01. Autopeças;7.0;Juntas, gaxetas e outros elementos com função semelhante de vedação
0100800;40161010;01. Autopeças;8.0;Partes de veículos automóveis, tratores e máquinas autopropulsadas
0100900;40169990;01. Autopeças;9.0;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins
0100900;57050000;01. Autopeças;9.0;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins
0101000;59039000;01. Autopeças;10.0;Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico
0101100;59090000;01. Autopeças;11.0;Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias
0101200;63061;01. Autopeças;12.0;Encerados e toldos
0101300;65061000;01. Autopeças;13.0;Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores
0101400;6813;01. Autopeças;14.0;Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias
0101500;70071100;01. Autopeças;15.0;Vidros de dimensões e formatos que permitam aplicação automotiva
0101500;70072100;01. Autopeças;15.0;Vidros de dimensões e formatos que permitam aplicação automotiva
0101600;70091000;01. Autopeças;16.0;Espelhos retrovisores
0101700;70140000;01. Autopeças;17.0;Lentes de faróis, lanternas e outros utensílios
0101800;73110000;01. Autopeças;18.0;Cilindro de aço para GNV (gás natural veicular)
0101900;73110000;01. Autopeças;19.0;Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0
0102000;7320;01. Autopeças;20.0;Molas e folhas de molas, de ferro ou aço
0102100;7325;01. Autopeças;21.0;Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00
0102200;780600;01. Autopeças;22.0;Peso de chumbo para balanceamento de roda
0102300;80070090;01. Autopeças;23.0;Peso para balanceamento de roda e outros utensílios de estanho
0102400;830120;01. Autopeças;24.0;Fechaduras e partes de fechaduras
0102400;830160;01. Autopeças;24.0;Fechaduras e partes de fechaduras
0102500;830170;01. Autopeças;25.0;Chaves apresentadas isoladamente
0102600;83021000;01. Autopeças;26.0;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns
0102600;83023000;01. Autopeças;26.0;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns
0102700;831000;01. Autopeças;27.0;Triângulo de segurança
0102800;84073;01. Autopeças;28.0;Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87
0102900;840820;01. Autopeças;29.0;Motores dos tipos utilizados para propulsão de veículos automotores
0103000;84099;01. Autopeças;30.0;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408
0103100;84122;01. Autopeças;31.0;Motores hidráulicos
0103200;841330;01. Autopeças;32.0;Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão
0103300;84141000;01. Autopeças;33.0;Bombas de vácuo
0103400;8414801;01. Autopeças;34.0;Compressores e turbocompressores de ar
0103400;8414802;01. Autopeças;34.0;Compressores e turbocompressores de ar
0103500;84139190;01. Autopeças;35.0;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00
0103500;84149010;01. Autopeças;35.0;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00
0103500;8414903;01. Autopeças;35.0;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00
0103500;84149039;01. Autopeças;35.0;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00
0103600;841520;01. Autopeças;36.0;Máquinas e aparelhos de ar condicionado
0103700;84212300;01. Autopeças;37.0;Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão
0103800;84212990;01. Autopeças;38.0;Filtros a vácuo
